SMA_120,SMA_60
3034.607916666666,3046.0300000000007
3034.8569166666653,3046.173666666668
3035.083166666665,3046.2718333333346
3035.3094166666647,3046.3700000000017
3035.4336666666645,3046.264166666668
3035.6029999999973,3046.175333333334
3035.6732499999976,3045.801833333334
3035.760749999997,3045.436333333334
3035.834583333331,3044.943833333335
3035.940499999998,3044.5155000000013
3036.0339166666645,3044.1810000000014
3036.112916666664,3043.844666666668
3036.204249999997,3043.4610000000007
3036.2894166666647,3043.072333333333
3036.3745833333314,3042.6405
3036.689666666665,3042.6043333333323
3036.845333333332,3042.3495
3037.005666666665,3042.121166666666
3037.157333333332,3041.9631666666664
3037.312166666665,3041.8115
3037.428749999999,3041.659833333333
3037.2475833333324,3040.9128333333338
3037.156166666666,3040.4635
3037.0647499999995,3040.0141666666664
3036.835833333333,3039.225666666666
3036.60525,3038.4369999999994
3036.409833333333,3037.6984999999995
3036.214416666667,3036.96
3036.019,3036.206666666667
3035.915250000001,3035.636666666668
3035.765666666668,3034.9750000000013
3035.6160833333347,3034.313333333335
3035.749416666668,3034.332833333335
3035.7120000000014,3034.010833333335
3035.7227500000017,3033.6888333333354
3035.730166666669,3033.366833333336
3035.6840000000025,3033.044833333335
3035.64966666667,3032.6956666666683
3035.4321666666697,3031.9835000000016
3035.1983333333364,3031.2386666666685
3035.007500000003,3030.496166666668
3034.8895000000034,3029.758833333334
3034.758500000004,3028.9980000000005
3034.627500000004,3028.2371666666672
3034.496500000004,3027.5260000000003
3034.3655000000044,3026.8951666666667
3034.234500000004,3026.264333333333
3034.146000000004,3025.7185
3034.036250000004,3025.130166666667
3033.935000000004,3024.5418333333337
3033.836500000003,3023.9535000000005
3033.81041666667,3023.560166666666
3033.7843333333367,3023.2649999999994
3033.764500000004,3022.969833333333
3033.7446666666706,3022.6746666666663
3033.736500000004,3022.402833333333
3033.78716666667,3022.248666666668
3033.80841666667,3022.035666666668
3033.8296666666706,3021.878500000001
3033.877583333337,3021.777833333335
3033.9255000000044,3021.775500000002
3033.9698333333376,3021.766000000002
3034.0141666666705,3021.7565000000022
3034.058500000004,3021.849000000002
3034.2108333333376,3022.157500000002
3034.272583333338,3022.406833333336
3034.2910833333376,3022.7803333333354
3034.3095833333377,3023.2470000000026
3034.365083333338,3023.786333333336
3034.327750000005,3024.140000000002
3034.290666666672,3024.400333333336
3034.250666666671,3024.644333333336
3034.128333333338,3024.795666666669
3033.9919166666705,3024.911500000002
3033.8448333333367,3024.851333333335
3033.6977500000025,3024.8005000000016
3033.549583333336,3024.7496666666684
3033.441500000002,3024.768166666668
