time,open,high,low,close
1628943840,3228.65,3228.65,3228.65,3228.65
1628943900,3228.65,3228.65,3228.65,3228.65
1628943960,3228.65,3228.65,3228.65,3228.65
1628944020,3237.74,3237.74,3237.74,3237.74
1628944080,3237.74,3237.74,3237.74,3237.74
1628944140,3239.53,3239.53,3232.41,3232.41
1628944200,3232.41,3232.41,3232.41,3232.41
1628944260,3232.41,3232.41,3232.41,3232.41
1628944320,3232.41,3232.41,3232.41,3232.41
1628944380,3237.76,3237.76,3237.76,3237.76
1628944440,3236.27,3236.27,3235.39,3235.39
1628944500,3236.68,3236.68,3236.68,3236.68
1628944560,3236.68,3236.68,3236.68,3236.68
1628944620,3236.68,3236.68,3236.68,3236.68
1628944680,3236.68,3236.68,3236.68,3236.68
1628944740,3236.68,3236.68,3236.68,3236.68
1628944800,3236.68,3236.68,3236.68,3236.68
1628944860,3236.68,3236.68,3236.68,3236.68
1628944920,3236.68,3236.68,3236.68,3236.68
1628944980,3234.30,3234.30,3234.30,3234.30
1628945040,3234.30,3234.30,3234.30,3234.30
1628945100,3231.57,3231.57,3231.57,3231.57
1628945160,3235.20,3235.20,3235.20,3235.20
1628945220,3235.20,3235.20,3235.20,3235.20
1628945280,3235.20,3235.20,3235.20,3235.20
1628945340,3235.20,3235.20,3235.20,3235.20
1628945400,3230.00,3230.00,3230.00,3230.00
1628945460,3228.25,3228.25,3225.41,3225.41
1628945520,3225.41,3225.41,3225.41,3225.41
1628945580,3225.41,3225.41,3225.41,3225.41
1628945640,3227.24,3227.57,3226.24,3226.24
1628945700,3226.61,3227.09,3226.61,3227.09
1628945760,3225.65,3225.65,3225.65,3225.65
1628945820,3225.00,3225.00,3225.00,3225.00
1628945880,3223.85,3224.07,3223.73,3224.07
1628945940,3224.07,3224.07,3224.07,3224.07
1628946000,3222.95,3224.82,3222.95,3224.82
1628946060,3224.82,3224.82,3224.82,3224.82
1628946120,3227.09,3227.09,3226.50,3226.50
1628946180,3223.85,3223.85,3223.85,3223.85
1628946240,3226.80,3226.80,3225.28,3225.28
1628946300,3223.81,3223.81,3223.81,3223.81
